AutoSize attribute is deprecated,ToolTips.xml/BG
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GameOptions/GameOptionsScrollPanel/Stack/Stack/TurnWebhookFreqPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/Stack/AdapterPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/Stack/ResolutionPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/Stack/UIScalePulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/Stack/FullScreenPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/Stack/MSAAPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/AdvancedOptionsContainer/Stack/Stack/TickIntervalPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/AdvancedOptionsContainer/Stack/Stack/VFXDetailLevelPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/AdvancedOptionsContainer/Stack/Stack/ShadowsResolutionPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/AdvancedOptionsContainer/Stack/Stack/TerrainQualityPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/AdvancedOptionsContainer/Stack/Stack/TerrainAOResolutionPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/AdvancedOptionsContainer/Stack/Stack/ReflectionPassesPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/GraphicsOptions/GraphicsOptionsPanel/GraphicsOptionsStack/AdvancedOptionsContainer/Stack/Stack/LeaderQualityPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/LanguageOptions/Stack/Stack/DisplayLanguagePullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/LanguageOptions/Stack/Stack/SpokenLanguagePullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/ClockFormat/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/StartInStrategicView/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/MouseGrabPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/EdgeScrollPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/AutoProdQueuePullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/ReplaceDragWithClickPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/UnitCyclingPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/RibbonStatsPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/PlayByCloudEndTurnBehavior/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/PlayByCloudClientReadyBehavior/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/ColorblindAdaptation/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/RGBControl/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/ApplicationOptions/Stack/Stack/ShowIntroPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/CreditsScreen/Stack/CreditsChoice/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DirectoryPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/ModsMenu/MainGrid/MainWindow/InstalledTabPanel/Stack/Stack/ModGroupPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/ModsMenu/MainGrid/MainWindow/InstalledTabPanel/Grid/Stack/SortListingsPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/ModsMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/ModsMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/ModsMenu/MainGrid/MainWindow/InstalledTabPanel/Grid/Stack/SortListingsPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DirectoryPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/LoadGameMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/LoadGameMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/SaveGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/SaveGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DirectoryPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/SaveGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/CityStatePicker/Container/Grid/Stack/Stack/Stack/SortByPulldown/Grid/ScrollPanel
AutoSize attribute is deprecated,LeaderPicker.xml/Grid
AutoSize attribute is deprecated,LeaderPicker.xml/Grid
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/LeaderPicker/Container/Grid/Stack/Stack/PresetPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/BanPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/BanMapPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/VoteMapScriptPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/VoteMapAgePullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/VoteMapTempPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/ChatContainer/Container/ChatPull/GridButton
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/ChatContainer/Container/ChatPull/GridButton
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/ChatContainer/Container/ChatPull/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/ConfirmKick/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/ConfirmKick/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/StagingRoom/MainGrid/MainWindow/PrimaryPanelStack/PrimaryStackGrid/PlayersScrollPanel/GridContainer
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DirectoryPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/LoadGameMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/LoadGameMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/SaveGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/SaveGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DirectoryPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/SaveGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/FrontEndPopup/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/FrontEndPopup/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on X-axis,/FrontEnd/InvitePopup/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/InvitePopup/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/MainGrid/MainWindow/FriendsButton/Friends/FriendsScrollPanel/FriendsStack/RootContainer/FriendPulldown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DirectoryPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DecoContainer
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/SecondaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/SecondaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/SecondaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/SecondaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/SecondaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/SecondaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/PrimaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/PrimaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/PrimaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/MainGrid/MainWindow/DecoBorder/ParametersScrollPanel/ParametersStack/PrimaryParametersStack/Root/PullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/HostGame/Root/PullDown/Grid/ScrollPanel
